Geo_Name,state_code,Survey_Year,Tax_Type,item,Amount
New Mexico,32,2019,Other Taxes,TA5,"1,531,481"
New York,33,2019,Total Taxes,T00,"91,621,218"
New York,33,2019,Property Taxes,T01,X
New York,33,2019,Sales and Gross Receipts Taxes,TA1,"27,230,515"
New York,33,2019,License Taxes,TA3,"1,808,797"
New York,33,2019,Income Taxes,TA4,"58,635,996"
New York,33,2019,Other Taxes,TA5,"3,945,910"
North Carolina,34,2019,Total Taxes,T00,"29,316,480"
North Carolina,34,2019,Property Taxes,T01,X
North Carolina,34,2019,Sales and Gross Receipts Taxes,TA1,"12,804,080"
North Carolina,34,2019,License Taxes,TA3,"2,327,335"
North Carolina,34,2019,Income Taxes,TA4,"14,095,305"
North Carolina,34,2019,Other Taxes,TA5,"89,760"
North Dakota,35,2019,Total Taxes,T00,"4,969,744"
North Dakota,35,2019,Property Taxes,T01,"4,636"
North Dakota,35,2019,Sales and Gross Receipts Taxes,TA1,"1,563,632"
North Dakota,35,2019,License Taxes,TA3,"228,684"
North Dakota,35,2019,Income Taxes,TA4,"561,797"
North Dakota,35,2019,Other Taxes,TA5,"2,610,995"
Ohio,36,2019,Total Taxes,T00,"30,146,540"
Ohio,36,2019,Property Taxes,T01,X
Ohio,36,2019,Sales and Gross Receipts Taxes,TA1,"18,529,304"
Ohio,36,2019,License Taxes,TA3,"2,227,938"
Ohio,36,2019,Income Taxes,TA4,"9,320,571"
Ohio,36,2019,Other Taxes,TA5,"68,727"
Oklahoma,37,2019,Total Taxes,T00,"10,731,644"
Oklahoma,37,2019,Property Taxes,T01,X
Oklahoma,37,2019,Sales and Gross Receipts Taxes,TA1,"4,643,652"
Oklahoma,37,2019,License Taxes,TA3,"1,045,007"
Oklahoma,37,2019,Income Taxes,TA4,"3,868,327"
Oklahoma,37,2019,Other Taxes,TA5,"1,174,658"
Oregon,38,2019,Total Taxes,T00,"13,959,589"
Oregon,38,2019,Property Taxes,T01,"21,310"
Oregon,38,2019,Sales and Gross Receipts Taxes,TA1,"1,864,887"
Oregon,38,2019,License Taxes,TA3,"1,134,928"
Oregon,38,2019,Income Taxes,TA4,"10,758,070"
Oregon,38,2019,Other Taxes,TA5,"180,394"
Pennsylvania,39,2019,Total Taxes,T00,"43,132,450"
Pennsylvania,39,2019,Property Taxes,T01,"37,234"
Pennsylvania,39,2019,Sales and Gross Receipts Taxes,TA1,"22,140,157"
Pennsylvania,39,2019,License Taxes,TA3,"2,773,590"
Pennsylvania,39,2019,Income Taxes,TA4,"16,479,430"
Pennsylvania,39,2019,Other Taxes,TA5,"1,702,039"
Rhode Island,40,2019,Total Taxes,T00,"3,723,980"
Rhode Island,40,2019,Property Taxes,T01,"2,774"
Rhode Island,40,2019,Sales and Gross Receipts Taxes,TA1,"1,830,507"
Rhode Island,40,2019,License Taxes,TA3,"116,141"
Rhode Island,40,2019,Income Taxes,TA4,"1,552,958"
Rhode Island,40,2019,Other Taxes,TA5,"221,600"
South Carolina,41,2019,Total Taxes,T00,"11,221,043"
South Carolina,41,2019,Property Taxes,T01,"42,450"
South Carolina,41,2019,Sales and Gross Receipts Taxes,TA1,"5,241,143"
South Carolina,41,2019,License Taxes,TA3,"648,504"
South Carolina,41,2019,Income Taxes,TA4,"5,155,320"
South Carolina,41,2019,Other Taxes,TA5,"133,626"
South Dakota,42,2019,Total Taxes,T00,"1,940,415"
South Dakota,42,2019,Property Taxes,T01,X
South Dakota,42,2019,Sales and Gross Receipts Taxes,TA1,"1,614,664"
South Dakota,42,2019,License Taxes,TA3,"273,497"
South Dakota,42,2019,Income Taxes,TA4,"46,295"
South Dakota,42,2019,Other Taxes,TA5,"5,959"
Tennessee,43,2019,Total Taxes,T00,"14,826,723"
Tennessee,43,2019,Property Taxes,T01,X
Tennessee,43,2019,Sales and Gross Receipts Taxes,TA1,"10,729,498"
Tennessee,43,2019,License Taxes,TA3,"1,909,972"
Tennessee,43,2019,Income Taxes,TA4,"1,899,369"
Tennessee,43,2019,Other Taxes,TA5,"287,884"
Texas,44,2019,Total Taxes,T00,"63,330,294"
Texas,44,2019,Property Taxes,T01,X
Texas,44,2019,Sales and Gross Receipts Taxes,TA1,"53,905,394"
Texas,44,2019,License Taxes,TA3,"3,659,169"
Texas,44,2019,Income Taxes,TA4,X
Texas,44,2019,Other Taxes,TA5,"5,765,731"
Utah,45,2019,Total Taxes,T00,"9,968,215"
Utah,45,2019,Property Taxes,T01,X
Utah,45,2019,Sales and Gross Receipts Taxes,TA1,"4,057,436"
Utah,45,2019,License Taxes,TA3,"363,319"
Utah,45,2019,Income Taxes,TA4,"5,501,011"
Utah,45,2019,Other Taxes,TA5,"46,449"
Vermont,46,2019,Total Taxes,T00,"3,428,588"
Vermont,46,2019,Property Taxes,T01,"1,111,956"
Vermont,46,2019,Sales and Gross Receipts Taxes,TA1,"1,123,404"
Vermont,46,2019,License Taxes,TA3,"126,071"
Vermont,46,2019,Income Taxes,TA4,"1,010,471"
Vermont,46,2019,Other Taxes,TA5,"56,686"
Virginia,47,2019,Total Taxes,T00,"26,285,898"
Virginia,47,2019,Property Taxes,T01,"32,599"
Virginia,47,2019,Sales and Gross Receipts Taxes,TA1,"8,595,819"
Virginia,47,2019,License Taxes,TA3,"897,002"
Virginia,47,2019,Income Taxes,TA4,"15,795,819"
Virginia,47,2019,Other Taxes,TA5,"964,659"
Washington,48,2019,Total Taxes,T00,"27,992,437"
Washington,48,2019,Property Taxes,T01,"3,358,585"
Washington,48,2019,Sales and Gross Receipts Taxes,TA1,"21,373,727"
Washington,48,2019,License Taxes,TA3,"1,746,818"
Washington,48,2019,Income Taxes,TA4,X
